SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	1048576	50.94
20971520	3145728	49.26
52428800	524288	42.93
104857600	2097152	41.11
10485760	2097152	55.1
52428800	262144	41.85
5242880	2097152	59.13
10485760	6291456	53.86
52428800	1048576	42.25
10485760	524288	54.39
5242880	1048576	58.17
52428800	3145728	41.58
104857600	262144	40.94
20971520	262144	50.35
52428800	2097152	41.98
104857600	3145728	40.43
5242880	3145728	58.31
52428800	6291456	42.17
20971520	2097152	50.84
20971520	524288	49.77
104857600	1048576	40.0
104857600	524288	40.71
10485760	262144	54.37
5242880	6291456	57.64
5242880	524288	57.35
10485760	1048576	55.2
10485760	3145728	54.12
20971520	6291456	50.72
5242880	262144	57.18
104857600	6291456	40.18
