SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	3145728	5097.44
10485760	2097152	4978.75
10485760	6291456	5106.8
104857600	2097152	4923.44
20971520	2097152	5212.31
5242880	6291456	5064.71
10485760	1048576	4896.79
5242880	3145728	4832.18
20971520	1048576	4847.01
52428800	524288	5024.41
20971520	524288	5010.72
5242880	2097152	4985.67
104857600	1048576	5143.28
52428800	6291456	4927.76
20971520	3145728	4679.76
52428800	1048576	5030.62
10485760	262144	4943.55
5242880	524288	5233.05
10485760	524288	4888.75
5242880	262144	5233.5
20971520	262144	5191.72
5242880	1048576	4901.2
104857600	524288	4766.24
104857600	6291456	4956.7
20971520	6291456	4948.62
52428800	2097152	4896.11
52428800	262144	4958.54
52428800	3145728	5195.68
104857600	3145728	4885.75
104857600	262144	4816.92
