SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	6291456	150.67
20971520	6291456	140.55
52428800	1048576	110.99
104857600	6291456	94.5
5242880	6291456	167.44
52428800	6291456	109.33
52428800	262144	111.96
10485760	3145728	150.37
10485760	2097152	150.81
52428800	524288	111.23
10485760	1048576	148.53
5242880	262144	166.27
104857600	262144	96.14
10485760	524288	149.55
104857600	3145728	92.13
20971520	2097152	141.52
5242880	1048576	167.23
52428800	2097152	112.64
5242880	524288	165.99
104857600	524288	94.73
104857600	1048576	95.47
20971520	262144	142.74
104857600	2097152	96.73
20971520	3145728	144.51
20971520	524288	141.49
5242880	3145728	167.01
52428800	3145728	111.32
20971520	1048576	142.43
10485760	262144	150.3
5242880	2097152	168.97
