SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	524288	82.66
104857600	262144	47.3
10485760	3145728	91.49
52428800	6291456	58.37
5242880	524288	102.38
52428800	3145728	58.35
5242880	262144	100.4
52428800	1048576	57.93
104857600	524288	48.02
52428800	2097152	58.6
10485760	1048576	89.13
20971520	262144	81.83
104857600	2097152	47.73
10485760	2097152	90.0
5242880	2097152	101.81
5242880	6291456	100.66
10485760	524288	88.6
52428800	524288	58.63
10485760	6291456	87.22
20971520	1048576	81.1
104857600	1048576	47.49
5242880	3145728	102.77
5242880	1048576	100.48
104857600	3145728	47.01
20971520	6291456	83.85
52428800	262144	58.94
104857600	6291456	47.45
20971520	2097152	82.34
10485760	262144	88.06
20971520	3145728	83.45
