SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	524288	2141.62
20971520	262144	4755.79
10485760	262144	5668.74
20971520	6291456	5465.85
10485760	1048576	5827.14
10485760	2097152	6015.11
52428800	1048576	3385.47
52428800	6291456	3327.39
10485760	6291456	5876.81
52428800	2097152	3363.91
5242880	2097152	6236.8
104857600	3145728	2135.54
52428800	524288	3499.84
104857600	6291456	2162.98
5242880	524288	6173.76
52428800	3145728	3217.23
5242880	262144	5696.34
104857600	262144	2090.91
20971520	1048576	5611.79
10485760	3145728	6370.78
20971520	3145728	5569.06
104857600	1048576	2492.27
5242880	3145728	5672.71
10485760	524288	6419.98
5242880	6291456	6497.8
52428800	262144	3672.8
20971520	2097152	5634.96
5242880	1048576	5708.83
20971520	524288	5166.1
104857600	2097152	2099.58
