SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	2097152	7917.74
104857600	6291456	6405.54
5242880	262144	8561.14
52428800	2097152	7190.4
10485760	524288	8583.29
104857600	524288	6592.12
5242880	1048576	9162.23
20971520	2097152	7389.61
5242880	3145728	9575.24
104857600	3145728	6124.66
5242880	524288	8087.24
20971520	262144	8323.41
52428800	262144	7422.94
20971520	3145728	7987.21
104857600	2097152	7408.61
10485760	6291456	8330.11
10485760	3145728	8665.58
5242880	6291456	8392.66
52428800	1048576	7371.09
20971520	1048576	7807.24
52428800	3145728	7262.85
104857600	262144	6968.99
104857600	1048576	6155.92
52428800	524288	6492.61
10485760	2097152	9351.91
10485760	1048576	8907.69
20971520	6291456	7922.7
20971520	524288	7765.59
52428800	6291456	6787.74
10485760	262144	8058.21
