SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '800000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	1048576	139.45
5242880	1048576	158.78
104857600	3145728	86.28
5242880	6291456	159.67
5242880	3145728	157.0
52428800	262144	103.45
104857600	6291456	86.31
52428800	2097152	104.29
10485760	524288	145.44
20971520	6291456	135.54
104857600	1048576	85.58
104857600	524288	87.39
104857600	2097152	87.19
20971520	1048576	134.19
5242880	262144	161.35
20971520	524288	134.86
52428800	1048576	103.2
5242880	524288	159.2
52428800	6291456	104.46
20971520	2097152	133.71
10485760	3145728	141.62
52428800	524288	103.59
10485760	2097152	141.63
52428800	3145728	102.62
20971520	3145728	132.26
10485760	6291456	140.32
104857600	262144	86.64
10485760	262144	143.84
20971520	262144	130.86
5242880	2097152	161.7
