SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '200000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	1048576	8120.21
10485760	262144	7313.93
52428800	6291456	6663.88
104857600	6291456	5950.94
5242880	1048576	7216.33
5242880	3145728	8739.91
10485760	6291456	8033.55
5242880	2097152	8599.6
5242880	262144	8438.36
10485760	2097152	6567.7
20971520	6291456	7615.32
5242880	524288	8623.95
5242880	6291456	7970.22
20971520	524288	6339.71
104857600	524288	5968.27
104857600	2097152	5737.39
52428800	3145728	6287.28
52428800	524288	6289.09
20971520	2097152	7538.72
52428800	2097152	6080.47
52428800	1048576	6159.87
10485760	524288	8660.91
20971520	1048576	7221.74
104857600	262144	6130.01
52428800	262144	6653.23
104857600	1048576	5814.26
20971520	262144	7642.25
104857600	3145728	5730.93
10485760	3145728	8131.5
20971520	3145728	7340.47
