SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	2097152	145.65
5242880	524288	148.96
104857600	1048576	74.78
20971520	2097152	121.04
104857600	3145728	74.65
5242880	3145728	144.35
104857600	262144	74.39
10485760	6291456	133.61
10485760	262144	130.65
20971520	1048576	122.28
104857600	524288	73.82
5242880	1048576	146.42
52428800	262144	91.02
20971520	262144	122.35
20971520	3145728	119.63
20971520	6291456	120.07
10485760	1048576	129.15
10485760	3145728	131.23
5242880	6291456	145.68
20971520	524288	122.79
10485760	524288	130.96
52428800	524288	92.12
52428800	6291456	92.14
10485760	2097152	133.55
104857600	2097152	74.63
52428800	1048576	92.92
5242880	262144	146.29
104857600	6291456	76.96
52428800	3145728	92.67
52428800	2097152	93.17
