SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	262144	35.47
104857600	2097152	35.46
5242880	3145728	35.72
5242880	6291456	35.59
10485760	262144	35.45
104857600	6291456	35.78
5242880	2097152	35.5
52428800	2097152	36.28
104857600	524288	36.28
10485760	524288	35.6
104857600	262144	35.68
52428800	262144	35.65
10485760	2097152	35.49
52428800	524288	35.7
52428800	3145728	35.21
20971520	524288	35.68
10485760	6291456	36.39
10485760	1048576	35.44
5242880	524288	36.3
52428800	6291456	35.33
104857600	1048576	35.52
20971520	3145728	35.78
5242880	1048576	36.08
52428800	1048576	35.56
20971520	1048576	36.29
20971520	2097152	36.23
104857600	3145728	36.06
20971520	6291456	35.93
5242880	262144	36.29
10485760	3145728	35.95
