SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	2097152	4460.42
5242880	3145728	6070.78
104857600	262144	3238.42
5242880	262144	6370.97
20971520	3145728	5790.37
10485760	2097152	6586.3
10485760	1048576	6846.42
52428800	524288	4251.69
52428800	3145728	4281.32
104857600	2097152	3060.92
10485760	6291456	6679.88
20971520	524288	5400.77
20971520	6291456	6097.52
52428800	262144	4495.7
104857600	524288	2959.68
104857600	6291456	3208.44
52428800	1048576	4913.41
10485760	3145728	5835.69
20971520	2097152	5868.93
20971520	262144	5684.76
104857600	1048576	3121.98
5242880	1048576	6396.04
5242880	524288	6808.32
5242880	6291456	6621.74
10485760	524288	6226.01
5242880	2097152	6615.96
52428800	6291456	4713.58
20971520	1048576	5336.7
104857600	3145728	3051.38
10485760	262144	6891.37
