SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '400000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	524288	115.46
5242880	524288	130.13
10485760	6291456	111.12
5242880	3145728	130.84
10485760	262144	115.81
10485760	2097152	117.13
52428800	524288	78.33
10485760	1048576	115.6
5242880	2097152	127.87
104857600	262144	62.79
5242880	6291456	129.3
10485760	3145728	117.26
104857600	1048576	60.04
20971520	3145728	105.45
104857600	2097152	61.22
52428800	262144	80.34
52428800	6291456	79.57
52428800	3145728	79.02
5242880	262144	130.59
52428800	1048576	78.25
104857600	3145728	60.08
104857600	6291456	60.02
20971520	1048576	104.36
104857600	524288	61.06
52428800	2097152	80.68
5242880	1048576	132.49
20971520	524288	104.56
20971520	2097152	106.25
20971520	6291456	105.54
20971520	262144	104.29
