SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	3145728	4524.29
20971520	262144	3020.0
5242880	524288	4557.83
104857600	262144	1726.92
5242880	262144	4436.53
104857600	524288	2034.19
104857600	2097152	1800.14
10485760	524288	3892.8
20971520	6291456	2947.09
20971520	2097152	2760.05
5242880	1048576	4754.55
10485760	2097152	3715.18
52428800	3145728	2003.5
104857600	6291456	1779.31
20971520	3145728	2888.4
52428800	2097152	2088.58
104857600	3145728	1765.43
10485760	1048576	3972.54
10485760	262144	3791.5
104857600	1048576	1760.77
52428800	262144	1979.13
52428800	1048576	1990.32
5242880	2097152	4528.6
10485760	3145728	3911.11
52428800	524288	2062.21
20971520	524288	2901.51
10485760	6291456	3750.9
52428800	6291456	2077.46
20971520	1048576	2877.75
5242880	6291456	4340.98
