SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	524288	8686.42
10485760	1048576	9357.58
20971520	524288	9129.08
20971520	1048576	9293.51
52428800	1048576	8199.44
5242880	1048576	10378.09
52428800	262144	8122.06
52428800	2097152	8157.91
104857600	3145728	6745.73
104857600	2097152	7259.27
5242880	2097152	9386.88
52428800	6291456	8773.76
104857600	6291456	6849.86
10485760	6291456	9511.36
20971520	2097152	9708.72
52428800	3145728	7787.92
5242880	6291456	9277.7
20971520	3145728	9214.0
10485760	2097152	10164.57
20971520	262144	9887.37
104857600	262144	7489.24
104857600	524288	8450.56
10485760	3145728	9879.29
5242880	3145728	10233.02
20971520	6291456	8978.71
5242880	262144	10432.02
52428800	524288	9516.45
104857600	1048576	6912.09
10485760	262144	9284.2
5242880	524288	9669.53
