SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '40000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	524288	6148.78
10485760	1048576	6503.5
104857600	6291456	5270.81
5242880	1048576	6236.41
104857600	2097152	5225.4
52428800	262144	5715.35
104857600	524288	5032.4
10485760	262144	6740.76
52428800	2097152	6016.21
20971520	6291456	6374.57
20971520	2097152	6734.03
10485760	6291456	6886.53
5242880	3145728	7029.81
5242880	2097152	7384.06
52428800	524288	6130.88
104857600	1048576	5375.95
5242880	262144	7648.89
104857600	262144	5420.58
20971520	3145728	6008.09
5242880	524288	7575.36
20971520	262144	6170.36
104857600	3145728	5391.86
52428800	3145728	6059.72
5242880	6291456	7601.85
10485760	2097152	6829.86
10485760	3145728	7041.01
20971520	1048576	6619.42
52428800	1048576	5907.72
52428800	6291456	5770.87
10485760	524288	7018.27
