SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '10'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	262144	1920.12
5242880	3145728	1837.82
20971520	3145728	1861.94
20971520	524288	1807.43
104857600	3145728	1889.42
5242880	6291456	1803.48
52428800	524288	1745.64
104857600	2097152	1845.59
52428800	3145728	1816.97
20971520	1048576	1920.88
52428800	1048576	1828.73
104857600	262144	1817.64
104857600	524288	1807.31
10485760	1048576	1866.73
5242880	2097152	1876.35
52428800	6291456	1781.42
10485760	3145728	1864.36
20971520	262144	1867.93
104857600	1048576	1872.44
20971520	6291456	1858.07
10485760	524288	1782.96
52428800	2097152	1848.57
10485760	6291456	1820.81
10485760	2097152	1897.28
5242880	524288	1875.08
5242880	262144	1848.78
5242880	1048576	1903.78
20971520	2097152	1891.44
52428800	262144	1903.32
104857600	6291456	1816.77
