SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '600000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	6291456	9821.05
52428800	2097152	7130.75
10485760	524288	7946.99
5242880	262144	8748.38
5242880	524288	9180.53
52428800	524288	7483.96
5242880	1048576	10097.93
5242880	3145728	9217.06
52428800	3145728	7980.38
20971520	2097152	8353.91
10485760	3145728	9655.47
20971520	3145728	9122.85
5242880	2097152	9347.11
104857600	1048576	5540.84
10485760	2097152	9637.04
10485760	262144	9132.49
20971520	262144	9152.06
52428800	262144	7772.66
10485760	6291456	9557.72
104857600	6291456	7452.44
104857600	2097152	6901.45
10485760	1048576	9550.55
20971520	524288	9212.01
20971520	1048576	8542.65
104857600	524288	6976.46
104857600	262144	7275.64
104857600	3145728	6805.95
20971520	6291456	8969.55
52428800	6291456	8128.21
52428800	1048576	6723.78
