SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	3145728	3.7
800000	6291456	3.74
10	262144	1.4
600000	1048576	3.69
800000	524288	3.79
200000	3145728	3.36
400000	524288	3.62
1000000	2097152	3.9
800000	262144	3.74
1000000	262144	3.83
800000	1048576	3.73
10	3145728	1.4
10	1048576	1.4
40000	524288	2.68
200000	262144	3.33
1000000	3145728	3.84
600000	2097152	3.69
40000	2097152	2.67
200000	6291456	3.34
600000	262144	3.71
600000	524288	3.72
10	2097152	1.39
200000	1048576	3.37
40000	1048576	2.65
10	524288	1.4
400000	262144	3.58
400000	6291456	3.59
1000000	1048576	3.85
600000	6291456	3.69
1000000	524288	3.85
200000	524288	3.31
400000	1048576	3.61
800000	3145728	3.77
40000	3145728	2.67
40000	6291456	2.7
400000	3145728	3.59
40000	262144	2.67
400000	2097152	3.63
800000	2097152	3.77
10	6291456	1.39
200000	2097152	3.4
1000000	6291456	3.88
