SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	262144	195.23
800000	6291456	124.11
40000	1048576	49.28
600000	2097152	98.72
1000000	1048576	127.3
400000	2097152	81.78
200000	6291456	68.24
40000	3145728	50.66
400000	524288	82.18
600000	1048576	99.51
10	524288	192.11
200000	2097152	70.28
800000	524288	119.92
10	1048576	188.59
40000	2097152	49.4
1000000	2097152	138.24
1000000	3145728	131.92
10	6291456	189.0
200000	524288	68.4
10	2097152	189.5
200000	3145728	69.56
600000	3145728	97.96
1000000	524288	125.31
40000	6291456	50.31
40000	262144	50.79
600000	6291456	95.98
800000	1048576	114.02
800000	262144	113.57
200000	1048576	66.51
40000	524288	49.78
600000	262144	95.64
10	3145728	191.0
800000	3145728	114.48
400000	1048576	82.54
400000	6291456	81.7
400000	262144	79.78
800000	2097152	123.71
1000000	6291456	128.58
200000	262144	67.29
400000	3145728	84.33
600000	524288	97.95
1000000	262144	131.12
