SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1000000	524288	117.6
10	6291456	56.03
400000	262144	86.75
40000	2097152	50.33
200000	2097152	74.78
40000	262144	50.17
10	1048576	57.4
200000	6291456	74.86
400000	3145728	86.54
10	3145728	56.59
800000	524288	108.69
400000	6291456	86.65
1000000	262144	111.74
600000	524288	97.51
800000	262144	108.12
40000	1048576	50.37
1000000	3145728	114.11
200000	1048576	71.53
40000	3145728	50.28
800000	1048576	109.73
10	2097152	56.37
1000000	6291456	113.86
10	524288	56.87
800000	2097152	106.42
600000	262144	99.48
400000	2097152	83.54
800000	3145728	108.86
200000	3145728	70.51
400000	524288	84.91
600000	1048576	97.72
200000	262144	70.98
600000	2097152	96.02
600000	3145728	98.49
800000	6291456	107.28
1000000	1048576	115.29
200000	524288	71.74
40000	524288	49.99
1000000	2097152	113.45
400000	1048576	82.44
600000	6291456	101.67
40000	6291456	49.4
10	262144	57.57
