SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
400000	3145728	2.28
40000	6291456	1.82
10	262144	1.38
40000	262144	1.83
1000000	2097152	2.72
10	6291456	1.38
800000	262144	2.57
40000	2097152	1.82
10	3145728	1.38
800000	3145728	2.56
400000	524288	2.26
400000	262144	2.25
10	524288	1.37
1000000	524288	2.68
800000	524288	2.56
200000	1048576	2.04
1000000	1048576	2.7
600000	1048576	2.46
600000	524288	2.47
600000	6291456	2.47
200000	6291456	2.0
800000	1048576	2.57
600000	2097152	2.44
1000000	6291456	2.66
10	1048576	1.37
1000000	3145728	2.71
800000	6291456	2.57
1000000	262144	2.64
40000	3145728	1.82
600000	3145728	2.46
400000	2097152	2.3
200000	524288	2.01
800000	2097152	2.57
600000	262144	2.47
400000	6291456	2.28
200000	262144	2.01
10	2097152	1.38
200000	3145728	2.0
40000	1048576	1.87
200000	2097152	2.02
40000	524288	1.83
400000	1048576	2.27
