SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
40000	6291456	1.87
40000	262144	1.85
200000	1048576	2.25
40000	2097152	1.88
1000000	2097152	2.96
10	2097152	1.38
40000	1048576	1.87
10	262144	1.37
800000	2097152	2.9
400000	1048576	2.55
10	6291456	1.44
400000	524288	2.56
400000	3145728	2.61
40000	524288	1.85
800000	3145728	2.86
1000000	6291456	2.95
200000	2097152	2.24
800000	262144	2.92
800000	1048576	2.87
40000	3145728	1.85
200000	524288	2.24
400000	2097152	2.58
1000000	3145728	2.98
400000	262144	2.6
600000	262144	2.77
10	3145728	1.37
200000	6291456	2.26
800000	524288	2.87
600000	3145728	2.76
10	1048576	1.38
1000000	524288	2.97
10	524288	1.37
200000	3145728	2.26
1000000	1048576	2.97
600000	6291456	2.81
400000	6291456	2.57
800000	6291456	2.9
200000	262144	2.24
600000	2097152	2.76
600000	1048576	2.75
600000	524288	2.75
1000000	262144	2.95
