SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	2097152	3.45
400000	6291456	3.65
1000000	262144	3.92
10	1048576	1.41
800000	6291456	3.79
10	524288	1.41
600000	1048576	3.76
10	2097152	1.42
600000	524288	3.73
400000	524288	3.81
800000	2097152	3.78
1000000	3145728	3.85
600000	262144	3.78
200000	3145728	3.42
40000	262144	2.83
10	6291456	1.41
200000	262144	3.43
10	262144	1.41
400000	3145728	3.68
400000	262144	3.63
1000000	1048576	3.86
800000	1048576	3.8
600000	2097152	3.72
40000	2097152	2.83
40000	6291456	2.88
1000000	2097152	3.88
40000	1048576	2.84
10	3145728	1.43
40000	524288	2.88
600000	3145728	3.76
40000	3145728	2.82
400000	2097152	3.68
600000	6291456	3.76
200000	6291456	3.46
1000000	524288	3.9
400000	1048576	3.62
800000	3145728	3.71
1000000	6291456	3.9
200000	1048576	3.53
800000	262144	3.79
800000	524288	3.72
200000	524288	3.44
