SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
40000	524288	22.35
600000	6291456	42.65
800000	262144	49.95
400000	2097152	36.04
400000	262144	36.45
10	1048576	54.71
600000	1048576	44.83
200000	524288	29.57
400000	1048576	35.48
200000	1048576	29.84
200000	3145728	29.49
10	2097152	53.47
1000000	2097152	56.45
800000	2097152	51.17
800000	1048576	49.86
200000	6291456	29.16
400000	3145728	36.66
400000	6291456	36.23
10	6291456	52.89
40000	2097152	22.44
600000	262144	44.2
1000000	6291456	53.37
1000000	262144	53.75
10	3145728	53.34
40000	6291456	22.43
800000	3145728	49.08
40000	262144	22.49
1000000	1048576	55.73
200000	262144	28.62
1000000	524288	55.77
40000	1048576	22.56
600000	524288	44.34
400000	524288	36.1
10	524288	53.69
200000	2097152	29.39
10	262144	52.77
800000	524288	50.2
600000	2097152	42.33
1000000	3145728	57.58
40000	3145728	22.11
800000	6291456	49.71
600000	3145728	43.46
