SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	6291456	281.23
200000	524288	164.47
800000	524288	293.05
400000	6291456	197.39
200000	262144	162.22
1000000	3145728	292.51
40000	3145728	116.04
10	262144	211.03
400000	262144	196.19
10	3145728	209.96
200000	3145728	165.41
600000	3145728	220.58
200000	2097152	167.83
1000000	524288	285.39
40000	524288	115.4
10	6291456	214.48
10	524288	212.22
800000	1048576	266.19
40000	6291456	120.32
200000	1048576	163.6
600000	2097152	238.1
600000	524288	258.86
400000	3145728	197.82
800000	2097152	279.48
1000000	6291456	300.45
600000	262144	238.84
10	2097152	210.12
1000000	1048576	305.59
600000	1048576	237.92
40000	262144	115.66
1000000	2097152	284.36
400000	1048576	193.09
400000	2097152	194.79
10	1048576	207.15
800000	262144	287.8
1000000	262144	312.41
200000	6291456	160.89
600000	6291456	231.8
40000	2097152	118.93
40000	1048576	116.79
800000	3145728	267.91
400000	524288	197.91
