SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
1000000	262144	235.79
1000000	3145728	230.35
400000	1048576	153.8
40000	524288	89.87
10	2097152	188.29
10	6291456	193.83
400000	6291456	155.62
600000	262144	193.12
600000	3145728	183.36
800000	2097152	213.72
600000	2097152	193.54
1000000	1048576	231.03
600000	1048576	198.83
800000	524288	213.9
600000	524288	181.55
200000	524288	121.53
400000	524288	153.23
400000	262144	155.89
10	3145728	192.55
400000	2097152	158.07
200000	2097152	124.55
40000	3145728	90.13
200000	6291456	122.06
1000000	2097152	228.59
1000000	524288	222.15
200000	262144	124.29
800000	262144	215.46
10	1048576	194.04
200000	3145728	123.77
200000	1048576	124.59
800000	6291456	218.46
40000	6291456	88.16
40000	2097152	88.18
600000	6291456	194.2
10	262144	190.12
10	524288	194.87
1000000	6291456	226.01
800000	3145728	209.14
400000	3145728	157.24
40000	1048576	88.16
40000	262144	90.18
800000	1048576	215.91
