SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '52428800' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	1048576	53.05
600000	262144	50.15
40000	262144	24.81
1000000	262144	64.53
200000	262144	34.95
10	6291456	53.86
40000	1048576	24.6
600000	1048576	50.31
40000	524288	24.22
200000	1048576	35.41
200000	3145728	34.75
200000	2097152	34.57
600000	6291456	53.25
10	262144	53.24
400000	262144	42.13
200000	524288	34.97
1000000	524288	63.2
400000	2097152	42.53
10	3145728	54.17
400000	3145728	43.01
600000	3145728	50.13
40000	2097152	24.7
800000	1048576	56.17
800000	524288	54.19
400000	524288	41.8
600000	524288	54.25
1000000	6291456	61.71
400000	6291456	41.42
600000	2097152	49.83
400000	1048576	41.9
200000	6291456	34.46
40000	6291456	24.38
800000	262144	59.02
800000	2097152	53.73
40000	3145728	24.84
10	2097152	54.08
1000000	3145728	60.88
1000000	1048576	63.29
10	524288	53.48
800000	6291456	54.67
1000000	2097152	64.24
800000	3145728	54.21
