SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
40000	1048576	33.77
600000	2097152	61.89
40000	2097152	32.35
10	6291456	54.06
200000	1048576	39.96
400000	2097152	53.78
600000	262144	63.54
10	2097152	54.84
800000	3145728	72.58
800000	524288	71.74
200000	2097152	42.6
200000	524288	41.95
1000000	3145728	79.81
1000000	2097152	81.1
800000	2097152	72.51
40000	6291456	32.84
1000000	6291456	79.25
10	3145728	55.43
1000000	524288	76.39
40000	262144	33.04
600000	3145728	63.86
200000	262144	41.25
800000	6291456	73.43
400000	524288	51.05
10	262144	53.97
200000	6291456	41.35
1000000	262144	79.44
600000	524288	65.1
40000	3145728	33.49
400000	1048576	53.21
600000	1048576	63.97
400000	6291456	53.16
600000	6291456	64.41
10	524288	55.33
800000	262144	72.09
1000000	1048576	76.28
10	1048576	55.06
400000	3145728	51.72
800000	1048576	72.41
200000	3145728	41.72
400000	262144	51.33
40000	524288	33.27
