SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
200000	524288	2.91
400000	524288	3.22
600000	2097152	3.36
600000	524288	3.31
800000	3145728	3.39
200000	3145728	2.87
400000	6291456	3.19
800000	1048576	3.42
40000	6291456	2.26
10	3145728	1.38
800000	6291456	3.37
200000	2097152	2.91
1000000	524288	3.45
800000	524288	3.39
10	2097152	1.39
1000000	2097152	3.46
600000	3145728	3.29
10	262144	1.38
600000	1048576	3.3
800000	2097152	3.38
800000	262144	3.36
200000	1048576	2.9
40000	262144	2.21
10	6291456	1.39
1000000	1048576	3.46
10	1048576	1.38
400000	3145728	3.17
600000	6291456	3.3
10	524288	1.39
40000	2097152	2.28
40000	524288	2.29
400000	2097152	3.18
400000	1048576	3.25
1000000	262144	3.47
600000	262144	3.28
1000000	6291456	3.57
400000	262144	3.16
200000	6291456	2.88
1000000	3145728	3.52
40000	1048576	2.24
40000	3145728	2.22
200000	262144	2.87
