SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '50'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	1048576	93.3
400000	6291456	72.78
1000000	1048576	99.56
10	2097152	54.72
400000	524288	71.77
40000	6291456	42.03
600000	262144	83.57
10	262144	54.43
40000	2097152	42.23
600000	1048576	84.06
1000000	2097152	98.05
10	3145728	53.61
600000	2097152	82.6
600000	524288	83.9
10	6291456	54.54
40000	262144	41.27
200000	2097152	55.63
800000	262144	93.94
1000000	3145728	100.27
10	524288	54.9
10	1048576	54.61
1000000	262144	96.31
200000	262144	56.42
200000	524288	56.89
40000	3145728	41.89
600000	6291456	83.26
1000000	524288	95.27
800000	2097152	91.99
400000	1048576	73.62
200000	3145728	56.47
800000	3145728	93.58
40000	524288	41.42
1000000	6291456	97.11
200000	6291456	59.03
40000	1048576	41.02
400000	2097152	72.02
800000	524288	92.58
400000	262144	71.58
800000	6291456	89.74
600000	3145728	82.0
400000	3145728	71.33
200000	1048576	59.73
