SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	2097152	85.48
600000	3145728	85.86
40000	2097152	43.19
800000	3145728	97.47
400000	524288	73.52
10	1048576	190.18
800000	2097152	104.64
800000	524288	101.97
400000	262144	74.03
600000	1048576	88.6
600000	262144	87.63
40000	6291456	43.96
10	6291456	189.37
200000	3145728	62.29
800000	262144	100.21
1000000	524288	110.91
200000	262144	62.73
200000	6291456	60.29
10	524288	191.26
400000	2097152	72.3
800000	1048576	99.48
40000	3145728	45.27
200000	1048576	61.7
200000	2097152	60.99
800000	6291456	98.22
600000	524288	86.49
400000	6291456	72.81
10	2097152	187.61
400000	3145728	73.05
600000	6291456	87.29
1000000	262144	112.69
200000	524288	61.54
1000000	2097152	112.38
10	3145728	186.9
1000000	1048576	113.8
400000	1048576	70.46
1000000	6291456	111.16
40000	1048576	44.06
40000	524288	43.52
1000000	3145728	109.05
40000	262144	43.59
10	262144	190.97
