SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	100	6663.88
800000	50	4448.01
200000	1	58.37
1000000	50	4340.11
1000000	1	109.33
200000	50	3327.39
400000	1	79.57
10	100	4927.76
1000000	100	8773.76
800000	100	8071.65
40000	1	42.17
10	50	1781.42
600000	50	5052.83
800000	1	104.46
10	1	35.33
600000	1	92.14
400000	50	4713.58
40000	100	5770.87
600000	100	8128.21
400000	100	6787.74
40000	50	2077.46
