SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
1000000	100	8199.44
40000	1	42.25
1000000	1	110.99
200000	1	57.93
200000	50	3385.47
1000000	50	4330.85
10	50	1828.73
400000	1	78.25
400000	50	4913.41
10	100	5030.62
800000	100	8238.28
800000	1	103.2
800000	50	5069.26
400000	100	7371.09
200000	100	6159.87
40000	50	1990.32
600000	50	4745.05
10	1	35.56
600000	1	92.92
40000	100	5907.72
600000	100	6723.78
