SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
10	50	1861.94
40000	1	49.26
400000	50	5790.37
800000	100	9580.57
800000	50	4846.01
400000	1	105.45
600000	100	9122.85
600000	1	119.63
40000	50	2888.4
10	100	4679.76
40000	100	6008.09
400000	100	7987.21
1000000	100	9214.0
200000	50	5569.06
600000	50	6014.24
1000000	1	144.51
10	1	35.78
1000000	50	5152.94
800000	1	132.26
200000	1	83.45
200000	100	7340.47
