SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	100	7216.33
800000	1	158.78
40000	100	6236.41
600000	100	10097.93
1000000	100	10378.09
600000	50	6424.31
400000	100	9162.23
1000000	50	5725.22
40000	1	58.17
800000	100	9164.07
600000	1	146.42
40000	50	4754.55
1000000	1	167.23
400000	50	6396.04
800000	50	6686.96
400000	1	132.49
200000	1	100.48
10	1	36.08
10	100	4901.2
200000	50	5708.83
10	50	1903.78
