SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '52428800'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	50	4460.42
600000	50	4943.28
600000	100	7130.75
800000	50	4230.73
400000	100	7190.4
1000000	100	8157.91
800000	1	104.29
200000	1	58.6
40000	1	41.98
40000	100	6016.21
200000	50	3363.91
10	1	36.28
800000	100	8590.68
1000000	1	112.64
40000	50	2088.58
400000	1	80.68
1000000	50	4822.66
200000	100	6080.47
10	50	1848.57
10	100	4896.11
600000	1	93.17
