SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
200000	100	7313.93
10	50	1920.12
200000	50	5668.74
400000	1	115.81
600000	50	7025.03
10	1	35.45
800000	100	8697.55
600000	1	130.65
40000	100	6740.76
600000	100	9132.49
1000000	50	6169.05
10	100	4943.55
40000	50	3791.5
40000	1	54.37
800000	50	6291.53
800000	1	143.84
400000	50	6891.37
200000	1	88.06
1000000	1	150.3
1000000	100	9284.2
400000	100	8058.21
