SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '104857600'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
10	50	1889.42
600000	1	74.65
800000	1	86.28
1000000	50	4069.21
1000000	100	6745.73
800000	100	7185.82
40000	1	40.43
400000	100	6124.66
1000000	1	92.13
800000	50	3721.42
400000	1	60.08
200000	50	2135.54
40000	50	1765.43
600000	50	3498.15
40000	100	5391.86
200000	1	47.01
600000	100	6805.95
10	1	36.06
400000	50	3051.38
200000	100	5730.93
10	100	4885.75
