SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '6291456' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	9770.28
1000000	1	140.55
200000	50	5465.85
800000	50	5484.93
800000	1	135.54
40000	100	6374.57
40000	50	2947.09
400000	50	6097.52
1000000	50	5345.08
200000	100	7615.32
600000	1	120.07
600000	50	5160.83
10	50	1858.07
1000000	100	8978.71
200000	1	83.85
400000	1	105.54
600000	100	8969.55
40000	1	50.72
10	100	4948.62
400000	100	7922.7
10	1	35.93
