SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '2097152' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
600000	1	145.65
400000	1	127.87
400000	100	7917.74
40000	1	59.13
200000	100	8599.6
600000	100	9347.11
10	1	35.5
40000	100	7384.06
600000	50	6807.31
10	100	4985.67
200000	1	101.81
800000	100	9999.17
1000000	100	9386.88
10	50	1876.35
200000	50	6236.8
400000	50	6615.96
1000000	50	6158.84
800000	50	6249.48
40000	50	4528.6
800000	1	161.7
1000000	1	168.97
