SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '5242880'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	50	6070.78
10	50	1837.82
40000	50	4524.29
400000	1	130.84
200000	100	8739.91
800000	1	157.0
600000	1	144.35
600000	100	9217.06
800000	50	6363.92
10	1	35.72
10	100	4832.18
400000	100	9575.24
40000	1	58.31
40000	100	7029.81
1000000	50	6349.79
200000	1	102.77
1000000	1	167.01
200000	50	5672.71
1000000	100	10233.02
600000	50	5961.22
800000	100	9947.78
