SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '3145728' AND `--innodb-buffer-pool-size` = '10485760'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
800000	100	9870.9
1000000	50	6086.86
10	100	5097.44
200000	1	91.49
400000	1	117.26
600000	100	9655.47
1000000	1	150.37
800000	50	5100.35
400000	50	5835.69
600000	1	131.23
600000	50	5453.53
10	50	1864.36
400000	100	8665.58
200000	50	6370.78
800000	1	141.62
1000000	100	9879.29
40000	100	7041.01
40000	1	54.12
40000	50	3911.11
200000	100	8131.5
10	1	35.95
