SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '1048576' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--table-size`	`--threads`	`Avg_Latency(ms)`
40000	1	50.94
1000000	100	9293.51
800000	50	5854.61
10	50	1920.88
600000	1	122.28
10	100	4847.01
800000	100	8971.32
800000	1	134.19
400000	1	104.36
200000	1	81.1
200000	50	5611.79
400000	100	7807.24
600000	50	5067.85
200000	100	7221.74
600000	100	8542.65
1000000	50	4980.33
10	1	36.29
400000	50	5336.7
40000	100	6619.42
1000000	1	142.43
40000	50	2877.75
