SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '600000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	6291456	49.63
52428800	524288	48.39
20971520	2097152	64.66
10485760	3145728	65.73
5242880	262144	76.7
104857600	3145728	39.5
104857600	524288	38.82
52428800	3145728	48.77
20971520	3145728	62.99
104857600	262144	39.4
20971520	1048576	63.38
20971520	524288	64.2
5242880	524288	77.23
20971520	6291456	63.9
52428800	2097152	49.02
10485760	6291456	67.63
5242880	1048576	76.81
5242880	3145728	75.94
5242880	2097152	75.62
10485760	1048576	66.95
52428800	1048576	49.6
5242880	6291456	77.11
10485760	2097152	67.87
10485760	262144	67.63
20971520	262144	64.02
104857600	1048576	39.07
104857600	2097152	39.3
10485760	524288	67.84
104857600	6291456	39.26
52428800	262144	49.67
