SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	6291456	5829.2
20971520	3145728	6154.35
52428800	3145728	4173.99
52428800	262144	3740.09
52428800	2097152	4137.65
104857600	524288	2352.14
52428800	1048576	4139.05
104857600	262144	2340.54
5242880	262144	6986.03
10485760	262144	6405.59
20971520	524288	6095.98
104857600	6291456	2245.14
104857600	2097152	2310.9
5242880	2097152	5664.02
52428800	6291456	3770.27
10485760	2097152	6517.49
10485760	524288	5731.02
10485760	6291456	6157.03
5242880	6291456	6158.73
52428800	524288	3757.37
104857600	3145728	2336.86
104857600	1048576	2247.87
5242880	3145728	7149.89
10485760	1048576	6154.4
20971520	262144	5762.23
20971520	2097152	5873.7
20971520	1048576	5817.73
10485760	3145728	6490.03
5242880	1048576	6000.14
5242880	524288	6509.04
