SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
20971520	262144	57.67
5242880	1048576	69.08
5242880	524288	67.28
52428800	262144	42.28
20971520	3145728	56.22
10485760	524288	62.01
5242880	262144	69.31
52428800	1048576	42.19
20971520	1048576	57.29
52428800	2097152	41.87
104857600	262144	31.87
5242880	6291456	68.51
52428800	6291456	42.29
20971520	6291456	56.81
10485760	2097152	61.95
10485760	6291456	61.25
5242880	2097152	67.59
104857600	1048576	31.61
10485760	1048576	60.62
104857600	6291456	31.31
5242880	3145728	68.89
20971520	2097152	57.16
104857600	524288	32.12
10485760	3145728	61.8
104857600	2097152	31.58
10485760	262144	62.5
104857600	3145728	31.66
20971520	524288	56.83
52428800	524288	42.24
52428800	3145728	42.18
