SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	6291456	1005.18
5242880	1048576	2754.42
20971520	524288	1595.68
104857600	1048576	814.02
104857600	3145728	863.99
52428800	1048576	993.05
5242880	6291456	2770.5
10485760	1048576	2122.42
52428800	262144	998.56
104857600	6291456	859.69
5242880	524288	2519.96
5242880	3145728	2560.78
104857600	262144	880.46
104857600	524288	835.91
10485760	262144	2131.1
20971520	3145728	1594.71
10485760	524288	2230.5
52428800	2097152	978.75
104857600	2097152	848.9
10485760	3145728	2213.07
20971520	6291456	1613.41
5242880	2097152	2547.07
20971520	262144	1567.58
10485760	2097152	2055.61
52428800	524288	1015.75
20971520	1048576	1567.0
10485760	6291456	2310.48
52428800	3145728	993.52
20971520	2097152	1619.25
5242880	262144	2591.42
