SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	1048576	1497.56
104857600	262144	991.83
104857600	1048576	1050.75
104857600	524288	1032.58
20971520	3145728	2068.55
52428800	2097152	1627.87
104857600	2097152	1041.68
5242880	524288	2557.6
5242880	3145728	2632.68
5242880	6291456	2377.07
20971520	1048576	2186.82
10485760	2097152	2203.07
20971520	6291456	2245.9
20971520	524288	1879.42
52428800	262144	1516.47
52428800	6291456	1486.19
104857600	6291456	1002.68
5242880	2097152	2560.7
10485760	6291456	2169.33
10485760	3145728	2198.9
10485760	1048576	2495.66
5242880	1048576	2360.41
20971520	2097152	2065.74
10485760	524288	2161.25
5242880	262144	2219.77
52428800	524288	1472.54
104857600	3145728	1082.81
10485760	262144	2267.7
20971520	262144	2290.67
52428800	3145728	1604.86
