SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	524288	49.74
104857600	3145728	49.94
10485760	3145728	76.56
20971520	6291456	72.34
10485760	1048576	73.54
52428800	524288	58.51
5242880	6291456	85.85
5242880	2097152	85.94
10485760	6291456	73.78
20971520	1048576	73.13
5242880	524288	86.1
20971520	524288	73.21
104857600	1048576	49.75
20971520	262144	72.01
52428800	1048576	59.29
10485760	524288	72.83
20971520	2097152	73.09
20971520	3145728	74.09
52428800	2097152	59.28
10485760	262144	74.52
52428800	3145728	59.35
104857600	262144	50.14
5242880	1048576	86.54
52428800	262144	59.82
5242880	262144	85.67
104857600	6291456	51.14
10485760	2097152	75.75
5242880	3145728	87.77
104857600	2097152	49.5
52428800	6291456	59.38
