SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	6291456	839.39
5242880	1048576	1005.5
20971520	524288	872.7
5242880	2097152	897.77
20971520	1048576	888.3
52428800	3145728	871.5
104857600	2097152	863.99
20971520	262144	858.9
10485760	262144	864.05
10485760	524288	864.22
10485760	2097152	891.83
20971520	2097152	906.33
104857600	262144	865.12
10485760	6291456	889.02
5242880	3145728	899.9
10485760	3145728	878.48
52428800	262144	864.41
52428800	1048576	897.52
5242880	262144	889.22
104857600	1048576	876.98
20971520	6291456	893.7
104857600	524288	864.51
20971520	3145728	863.63
10485760	1048576	854.9
104857600	3145728	864.98
5242880	6291456	894.11
52428800	2097152	862.64
104857600	6291456	864.93
52428800	524288	852.38
5242880	524288	887.46
