SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	2097152	30.88
20971520	3145728	45.96
5242880	2097152	54.13
5242880	6291456	54.58
52428800	6291456	30.45
5242880	1048576	54.15
5242880	524288	54.13
10485760	262144	49.34
10485760	2097152	49.07
52428800	3145728	30.55
10485760	1048576	49.06
104857600	3145728	24.34
20971520	524288	45.13
20971520	2097152	45.67
104857600	524288	24.66
104857600	1048576	24.48
20971520	1048576	45.18
10485760	6291456	49.67
104857600	2097152	24.13
52428800	524288	31.4
20971520	6291456	45.02
52428800	1048576	30.63
104857600	262144	24.43
5242880	262144	54.19
10485760	3145728	49.09
104857600	6291456	24.8
20971520	262144	45.47
10485760	524288	48.68
52428800	262144	30.88
5242880	3145728	54.6
