SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '10'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	3145728	18.03
5242880	2097152	18.45
20971520	3145728	18.35
104857600	1048576	18.28
52428800	3145728	18.18
104857600	2097152	18.21
104857600	3145728	18.05
20971520	2097152	18.45
10485760	2097152	18.56
20971520	1048576	18.65
104857600	262144	18.32
10485760	262144	18.62
10485760	524288	18.25
10485760	1048576	18.11
10485760	3145728	18.71
5242880	1048576	18.21
52428800	262144	17.85
10485760	6291456	18.41
104857600	524288	18.6
52428800	2097152	18.52
52428800	6291456	18.37
52428800	524288	18.42
5242880	524288	18.14
20971520	524288	18.2
104857600	6291456	17.93
20971520	6291456	18.31
52428800	1048576	18.31
5242880	262144	18.31
5242880	6291456	18.45
20971520	262144	18.41
