SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
5242880	262144	5456.83
10485760	1048576	4632.1
5242880	1048576	4983.28
104857600	524288	3043.1
104857600	6291456	2959.54
10485760	262144	4694.14
5242880	3145728	5258.89
10485760	2097152	4223.07
52428800	6291456	2793.15
52428800	2097152	3417.87
20971520	6291456	4487.28
10485760	524288	4522.04
52428800	1048576	3540.06
52428800	262144	3304.51
20971520	1048576	4787.61
104857600	3145728	2972.23
52428800	524288	3448.91
104857600	262144	2734.69
5242880	2097152	4977.42
20971520	3145728	4459.07
10485760	6291456	5028.76
20971520	262144	4614.0
5242880	524288	5346.59
104857600	1048576	2800.4
20971520	524288	4252.64
104857600	2097152	2818.79
10485760	3145728	5308.25
52428800	3145728	3297.83
5242880	6291456	4882.2
20971520	2097152	3631.64
