SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '400000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	262144	3490.54
104857600	262144	2894.84
10485760	1048576	5809.78
20971520	1048576	4820.3
52428800	3145728	3833.11
52428800	2097152	3939.17
104857600	6291456	2827.04
5242880	262144	6453.9
10485760	2097152	5622.9
104857600	1048576	2709.4
104857600	524288	2798.85
20971520	6291456	5111.04
20971520	3145728	5200.52
52428800	1048576	3894.89
104857600	3145728	2961.16
5242880	6291456	6275.97
10485760	3145728	6042.89
5242880	2097152	5622.43
5242880	524288	5833.88
5242880	3145728	6134.85
5242880	1048576	5600.81
52428800	6291456	3993.38
10485760	524288	5663.36
20971520	2097152	5116.0
10485760	6291456	6000.21
10485760	262144	5747.09
20971520	262144	4928.07
104857600	2097152	3013.92
20971520	524288	4683.22
52428800	524288	4137.81
