SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '200000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
52428800	524288	1372.24
10485760	3145728	2815.39
104857600	524288	731.79
104857600	2097152	719.51
52428800	1048576	1383.92
20971520	6291456	2374.62
5242880	2097152	2884.78
5242880	3145728	2780.24
10485760	1048576	2855.77
10485760	2097152	2765.77
20971520	262144	2332.49
5242880	524288	2875.9
20971520	524288	2315.35
52428800	6291456	1309.71
20971520	2097152	2248.75
104857600	6291456	721.16
20971520	1048576	2257.88
10485760	524288	2658.87
52428800	2097152	1455.19
104857600	1048576	724.63
5242880	1048576	2789.63
104857600	3145728	698.64
5242880	262144	3084.83
52428800	3145728	1348.82
104857600	262144	732.27
10485760	262144	2792.99
20971520	3145728	2308.73
5242880	6291456	2769.11
52428800	262144	1374.07
10485760	6291456	2669.43
