SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	6291456	2777.79
104857600	3145728	2660.59
104857600	2097152	2587.98
5242880	524288	5788.3
5242880	2097152	5926.39
5242880	1048576	5719.82
52428800	1048576	3068.64
10485760	524288	5926.39
10485760	6291456	5808.76
52428800	262144	3331.39
104857600	524288	2712.73
104857600	262144	2691.2
10485760	1048576	6065.92
10485760	3145728	5987.51
5242880	6291456	6161.37
52428800	6291456	2964.97
20971520	2097152	4782.79
52428800	3145728	2903.81
20971520	524288	4659.63
5242880	262144	5907.3
5242880	3145728	6040.17
52428800	2097152	3139.31
20971520	6291456	4689.09
20971520	262144	4586.07
10485760	262144	6176.52
104857600	1048576	2742.38
10485760	2097152	6137.74
20971520	1048576	4615.52
52428800	524288	3135.22
20971520	3145728	4806.81
