SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	2097152	1296.87
5242880	2097152	2381.69
10485760	2097152	1887.97
20971520	6291456	1597.81
10485760	1048576	1657.34
52428800	1048576	1473.42
52428800	3145728	1649.28
10485760	6291456	2084.62
5242880	1048576	2224.58
10485760	262144	1837.0
52428800	6291456	1212.06
104857600	6291456	1157.47
20971520	262144	1978.73
10485760	3145728	1904.1
52428800	2097152	1745.24
5242880	3145728	2351.35
5242880	524288	2438.5
104857600	524288	1374.86
5242880	6291456	2374.59
20971520	524288	1950.01
52428800	262144	1445.62
104857600	262144	1270.07
104857600	3145728	1172.88
104857600	1048576	1326.48
5242880	262144	2188.26
20971520	2097152	1951.59
10485760	524288	1858.17
20971520	1048576	1868.5
20971520	3145728	1878.52
52428800	524288	1476.93
