SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '100' AND `--table-size` = '1000000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	524288	4326.71
10485760	1048576	4772.46
104857600	1048576	2942.38
10485760	3145728	4646.13
20971520	2097152	4143.26
52428800	3145728	3489.04
52428800	524288	3449.4
104857600	6291456	3055.27
10485760	262144	4693.81
104857600	524288	2943.43
5242880	2097152	5195.59
52428800	6291456	3692.45
5242880	262144	5236.4
5242880	524288	4937.02
52428800	1048576	3685.24
20971520	3145728	3887.47
5242880	1048576	4935.06
20971520	6291456	3950.16
20971520	1048576	3786.56
104857600	2097152	3051.53
5242880	3145728	4849.41
104857600	3145728	2693.21
20971520	524288	4213.94
20971520	262144	3692.85
10485760	2097152	4452.66
10485760	6291456	4370.54
52428800	262144	3536.11
52428800	2097152	3462.77
104857600	262144	2714.31
5242880	6291456	5244.6
