SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '1' AND `--table-size` = '40000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
104857600	3145728	21.08
52428800	6291456	21.77
52428800	2097152	21.71
10485760	6291456	30.9
52428800	524288	21.83
5242880	1048576	32.9
20971520	2097152	27.1
104857600	6291456	20.99
10485760	524288	30.66
104857600	2097152	21.24
20971520	3145728	26.84
20971520	1048576	26.82
20971520	6291456	26.91
5242880	2097152	33.42
10485760	3145728	30.7
52428800	262144	21.77
5242880	3145728	33.38
5242880	262144	32.79
10485760	2097152	30.79
5242880	524288	32.59
10485760	262144	30.32
20971520	524288	26.55
104857600	262144	20.98
10485760	1048576	30.03
104857600	524288	21.07
52428800	3145728	21.3
20971520	262144	26.82
52428800	1048576	21.94
104857600	1048576	21.24
5242880	6291456	33.03
