SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '100'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	262144	4551.8
600000	524288	4879.78
600000	3145728	4462.4
200000	6291456	5829.2
200000	3145728	6154.35
1000000	2097152	4143.26
400000	1048576	4820.3
10	2097152	2538.13
10	1048576	2691.5
200000	524288	6095.98
1000000	3145728	3887.47
800000	6291456	4487.28
400000	6291456	5111.04
1000000	6291456	3950.16
400000	3145728	5200.52
40000	2097152	4782.79
1000000	1048576	3786.56
10	3145728	2599.63
40000	524288	4659.63
800000	1048576	4787.61
1000000	524288	4213.94
1000000	262144	3692.85
400000	2097152	5116.0
800000	3145728	4459.07
600000	6291456	4721.09
10	524288	2569.02
40000	6291456	4689.09
40000	262144	4586.07
10	6291456	2587.64
600000	2097152	4306.3
200000	262144	5762.23
200000	2097152	5873.7
800000	262144	4614.0
400000	262144	4928.07
600000	1048576	4708.6
200000	1048576	5817.73
800000	524288	4252.64
400000	524288	4683.22
10	262144	2547.59
40000	1048576	4615.52
40000	3145728	4806.81
800000	2097152	3631.64
