SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '5242880' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	1048576	1005.5
10	2097152	897.77
600000	524288	2618.47
40000	1048576	2754.42
800000	1048576	2748.4
1000000	2097152	2381.69
600000	6291456	2130.41
40000	6291456	2770.5
400000	524288	2557.6
800000	2097152	2505.32
200000	2097152	2884.78
400000	3145728	2632.68
200000	3145728	2780.24
40000	524288	2519.96
400000	6291456	2377.07
40000	3145728	2560.78
200000	524288	2875.9
600000	3145728	2329.37
600000	2097152	2429.0
1000000	1048576	2224.58
10	3145728	899.9
600000	1048576	2270.91
400000	2097152	2560.7
800000	262144	2017.33
800000	524288	2488.92
200000	1048576	2789.63
1000000	3145728	2351.35
10	262144	889.22
200000	262144	3084.83
1000000	524288	2438.5
400000	1048576	2360.41
40000	2097152	2547.07
1000000	6291456	2374.59
600000	262144	2522.91
800000	6291456	2244.95
800000	3145728	2187.29
200000	6291456	2769.11
10	6291456	894.11
400000	262144	2219.77
1000000	262144	2188.26
40000	262144	2591.42
10	524288	887.46
