SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10	524288	872.7
40000	524288	1595.68
400000	3145728	2068.55
10	1048576	888.3
800000	6291456	1683.69
10	262144	858.9
800000	3145728	1654.21
1000000	6291456	1597.81
200000	6291456	2374.62
600000	524288	2037.46
200000	262144	2332.49
200000	524288	2315.35
400000	1048576	2186.82
600000	1048576	1817.56
10	2097152	906.33
400000	6291456	2245.9
400000	524288	1879.42
200000	2097152	2248.75
1000000	262144	1978.73
800000	524288	1831.27
200000	1048576	2257.88
600000	262144	1970.33
40000	3145728	1594.71
800000	262144	2080.6
10	6291456	893.7
40000	6291456	1613.41
40000	262144	1567.58
600000	3145728	1968.82
800000	2097152	1683.58
400000	2097152	2065.74
1000000	524288	1950.01
600000	6291456	2045.18
10	3145728	863.63
200000	3145728	2308.73
40000	1048576	1567.0
600000	2097152	1948.49
1000000	2097152	1951.59
40000	2097152	1619.25
1000000	1048576	1868.5
1000000	3145728	1878.52
800000	1048576	1806.89
400000	262144	2290.67
