SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '104857600' AND `--threads` = '1'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
800000	2097152	44.9
1000000	524288	49.74
40000	3145728	21.08
800000	524288	44.7
800000	3145728	45.55
1000000	3145728	49.94
10	1048576	18.28
600000	3145728	39.5
600000	524288	38.82
10	2097152	18.21
10	3145728	18.05
40000	6291456	20.99
800000	6291456	44.87
40000	2097152	21.24
200000	3145728	24.34
400000	262144	31.87
10	262144	18.32
200000	524288	24.66
600000	262144	39.4
200000	1048576	24.48
1000000	1048576	49.75
400000	1048576	31.61
10	524288	18.6
400000	6291456	31.31
200000	2097152	24.13
800000	262144	45.17
1000000	262144	50.14
200000	262144	24.43
400000	524288	32.12
40000	262144	20.98
40000	524288	21.07
400000	2097152	31.58
10	6291456	17.93
600000	1048576	39.07
600000	2097152	39.3
1000000	6291456	51.14
400000	3145728	31.66
200000	6291456	24.8
600000	6291456	39.26
40000	1048576	21.24
1000000	2097152	49.5
800000	1048576	44.92
