SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '10485760' AND `--threads` = '50'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	2097152	2102.85
200000	3145728	2815.39
600000	262144	2147.62
1000000	2097152	1887.97
40000	1048576	2122.42
1000000	1048576	1657.34
800000	262144	2109.96
10	262144	864.05
10	524288	864.22
10	2097152	891.83
200000	1048576	2855.77
800000	6291456	1986.92
200000	2097152	2765.77
1000000	6291456	2084.62
600000	3145728	2122.32
400000	2097152	2203.07
1000000	262144	1837.0
800000	2097152	2160.53
40000	262144	2131.1
10	6291456	889.02
200000	524288	2658.87
1000000	3145728	1904.1
10	3145728	878.48
40000	524288	2230.5
400000	6291456	2169.33
800000	1048576	2106.8
600000	1048576	1842.46
40000	3145728	2213.07
800000	3145728	1906.64
400000	3145728	2198.9
400000	1048576	2495.66
200000	262144	2792.99
10	1048576	854.9
40000	2097152	2055.61
400000	524288	2161.25
40000	6291456	2310.48
400000	262144	2267.7
1000000	524288	1858.17
200000	6291456	2669.43
600000	524288	2093.76
600000	6291456	1953.67
800000	524288	2061.76
